Date : 2022-06-16 20:14:18
Directory : d:\New folder (3)\Group__Project\frontend
Total : 82 files,  38443 codes, 154 comments, 777 blanks, all 39374 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     32,880 |          0 |          5 |     32,885 |
| JavaScript |         50 |      3,776 |        127 |        437 |      4,340 |
| CSS        |         24 |      1,717 |          4 |        298 |      2,019 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         31 |         23 |          4 |         58 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |         82 |     38,443 |        154 |        777 |     39,374 |
| public                                                                                                               |          2 |         56 |         23 |          5 |         84 |
| src                                                                                                                  |         75 |      5,494 |        131 |        735 |      6,360 |
| src\component                                                                                                        |         66 |      5,281 |        123 |        687 |      6,091 |
| src\component\Announcement                                                                                           |          1 |         20 |          0 |          4 |         24 |
| src\component\BuyerProtection                                                                                        |          2 |        384 |          1 |         53 |        438 |
| src\component\Home                                                                                                   |          7 |        445 |          0 |         80 |        525 |
| src\component\admin                                                                                                  |         24 |      1,393 |        119 |        123 |      1,635 |
| src\component\admin\adminNavbar                                                                                      |          2 |         76 |          0 |          4 |         80 |
| src\component\admin\adminSidebar                                                                                     |          2 |        124 |          1 |          2 |        127 |
| src\component\admin\category                                                                                         |          6 |        415 |          0 |         69 |        484 |
| src\component\admin\category\addCategory                                                                             |          2 |        133 |          0 |         19 |        152 |
| src\component\admin\category\updateCategory                                                                          |          2 |        136 |          0 |         25 |        161 |
| src\component\admin\category\viewCategory                                                                            |          2 |        146 |          0 |         25 |        171 |
| src\component\admin\dashboard                                                                                        |          1 |          7 |          0 |          1 |          8 |
| src\component\admin\profile                                                                                          |          2 |        122 |          0 |          7 |        129 |
| src\component\admin\role                                                                                             |          6 |        407 |         26 |         31 |        464 |
| src\component\admin\role\addRole                                                                                     |          2 |        125 |          8 |         11 |        144 |
| src\component\admin\role\editRole                                                                                    |          2 |        138 |          0 |         15 |        153 |
